launch_service_provider,mission,name,net,pad,rocket,status
Institute of Space and Astronautical Science,Ohsumi 1,Lambda 4S | Ohsumi 1,09/26/1966 2:58 a.m.,"KS Center | Uchinoura Space Center, Japan",Lambda 4S,Launch Failure
Institute of Space and Astronautical Science,Ohsumi 2,Lambda 4S | Ohsumi 2,12/20/1966 2:20 a.m.,"KS Center | Uchinoura Space Center, Japan",Lambda 4S,Launch Failure
Institute of Space and Astronautical Science,Ohsumi 3,Lambda 4S | Ohsumi 3,04/13/1967 2:40 a.m.,"KS Center | Uchinoura Space Center, Japan",Lambda 4S,Launch Failure
Institute of Space and Astronautical Science,Ohsumi 4,Lambda 4S | Ohsumi 4,09/22/1969 2:10 a.m.,"KS Center | Uchinoura Space Center, Japan",Lambda 4S,Launch Failure
Institute of Space and Astronautical Science,Ohsumi 5,Lambda 4S | Ohsumi 5,02/11/1970 4:25 a.m.,"KS Center | Uchinoura Space Center, Japan",Lambda 4S,Launch Successful
Institute of Space and Astronautical Science,MS-F1,Mu-4S | MS-F1,09/25/1970 5 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-4S,Launch Failure
Institute of Space and Astronautical Science,Tansei-1,Mu-4S | Tansei-1,02/16/1971 4 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-4S,Launch Successful
Institute of Space and Astronautical Science,Shinsei,Mu-4S | Shinsei,09/28/1971 4 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-4S,Launch Successful
Institute of Space and Astronautical Science,Denpa,Mu-4S | Denpa,08/19/1972 2:40 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-4S,Launch Successful
Institute of Space and Astronautical Science,Tansei-2,Mu-3C | Tansei-2,02/16/1974 5 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3C,Launch Successful
Institute of Space and Astronautical Science,Taiyo,Mu-3C | Taiyo,02/24/1975 5:25 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3C,Launch Successful
National Space Development Agency of Japan,Kiku-1,N-I | Kiku-1,09/09/1975 5:30 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
Institute of Space and Astronautical Science,CORSA,Mu-3C | CORSA,02/04/1976 6 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3C,Launch Failure
National Space Development Agency of Japan,Ume 1,N-I | Ume 1,02/29/1976 3:30 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
Institute of Space and Astronautical Science,Tansei-3,Mu-3H | Tansei-3,02/19/1977 5:15 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3H,Launch Successful
National Space Development Agency of Japan,Kiku 2,N-I | Kiku 2,02/23/1977 8:50 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
Institute of Space and Astronautical Science,Kyokko,Mu-3H | Kyokko,02/04/1978 7 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3H,Launch Successful
National Space Development Agency of Japan,Ume 2,N-I | Ume 2,02/16/1978 4 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
Institute of Space and Astronautical Science,Jikiken,Mu-3H | Jikiken,09/16/1978 5 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3H,Launch Successful
National Space Development Agency of Japan,Ayame,N-I | Ayame,02/06/1979 8:46 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Failure
Institute of Space and Astronautical Science,Hakucho,Mu-3C | Hakucho,02/21/1979 5 a.m.,"Mu Center | Uchinoura Space Center, Japan",Mu-3C,Launch Successful
